date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:00:58	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Aug%202020%2018:02:09%20GMT	https://themefox.online/robots.txt		(from )
19:00:59	47464/47464	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20Jun%202020%2009:10:08%20GMT	https://themefox.online/archtera/	C:/My%20Web%20Sites/talent%20image/themefox.online/archtera/index.html	(from )
19:01:02	159468/159468	---M--	200	added ('OK')	text/css	date:Mon,%2001%20Jun%202020%2015:10:05%20GMT	https://themefox.online/archtera/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/talent%20image/themefox.online/archtera/assets/css/bootstrap.min.css	(from https://themefox.online/archtera/)
19:01:04	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Mon,%2001%20Jun%202020%2015:11:15%20GMT	https://themefox.online/archtera/assets/img/favicon.ico	C:/My%20Web%20Sites/talent%20image/themefox.online/archtera/assets/img/favicon.ico	(from https://themefox.online/archtera/)
19:01:05	244558/244558	---M--	200	added ('OK')	text/css	date:Mon,%2001%20Jun%202020%2015:10:15%20GMT	https://themefox.online/archtera/assets/css/style.min.css	C:/My%20Web%20Sites/talent%20image/themefox.online/archtera/assets/css/style.min.css	(from https://themefox.online/archtera/)
19:01:06	47464/47464	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20Jun%202020%2009:10:08%20GMT	https://themefox.online/archtera/index.html	C:/My%20Web%20Sites/talent%20image/themefox.online/archtera/index-2.html	(from https://themefox.online/archtera/)
19:01:08	2209/2209	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2001%20Jun%202020%2015:11:20%20GMT	https://themefox.online/archtera/assets/img/logo.svg	C:/My%20Web%20Sites/talent%20image/themefox.online/archtera/assets/img/logo.svg	(from https://themefox.online/archtera/)
19:01:09	25844/25844	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jun%202020%2015:09:56%20GMT	https://themefox.online/archtera/aboutus.html	C:/My%20Web%20Sites/talent%20image/themefox.online/archtera/aboutus.html	(from https://themefox.online/archtera/)
19:01:10	18737/18737	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jun%202020%2015:09:50%20GMT	https://themefox.online/archtera/portfolio.html	C:/My%20Web%20Sites/talent%20image/themefox.online/archtera/portfolio.html	(from https://themefox.online/archtera/)
19:01:12	19825/19825	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jun%202020%2015:09:48%20GMT	https://themefox.online/archtera/services.html	C:/My%20Web%20Sites/talent%20image/themefox.online/archtera/services.html	(from https://themefox.online/archtera/)
19:01:13	15484/15484	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20Jun%202020%2009:10:10%20GMT	https://themefox.online/archtera/contactus.html	C:/My%20Web%20Sites/talent%20image/themefox.online/archtera/contactus.html	(from https://themefox.online/archtera/)
19:01:15	18876/18876	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20Jun%202020%2009:10:08%20GMT	https://themefox.online/archtera/faq.html	C:/My%20Web%20Sites/talent%20image/themefox.online/archtera/faq.html	(from https://themefox.online/archtera/)
19:01:16	10758/10758	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jun%202020%2015:09:55%20GMT	https://themefox.online/archtera/blank.html	C:/My%20Web%20Sites/talent%20image/themefox.online/archtera/blank.html	(from https://themefox.online/archtera/)
